beta,se,tval,pval,outcome,population,fdr,Effect_lib,Effect,Outcome
0.00871733933263942,0.0306538722706348,0.284379710846198,0.776121110352918,aarsd1,white_british,0.84421203304559,Unchanged,Unchanged,AARSD1
0.0438405066633827,0.0315855070466423,1.38799439244852,0.165147754366343,abhd14b,white_british,0.282312446302938,Unchanged,Unchanged,ABHD14B
0.0774746946197864,0.0375161401931477,2.06510302554891,0.0389206963796977,abl1,white_british,0.0892491830775827,Unchanged,Unchanged,ABL1
0.109015133221318,0.0449866269527231,2.42327866314324,0.0153863318504735,acaa1,white_british,0.0408684458988087,Upregulated,Unchanged,ACAA1
-0.0584878319077075,0.015556629324217,-3.75967252858943,0.000170417204626585,acan,white_british,0.000909928359009832,Downregulated,Unchanged,ACAN
0.200495918597439,0.0284259417010476,7.05327270090229,1.78085207225882e-12,ace2,white_british,7.44396166204187e-11,Upregulated,Upregulated,ACE2
0.0345887702952012,0.0268045921258775,1.29040464905298,0.196918786452097,acox1,white_british,0.322611628868329,Unchanged,Unchanged,ACOX1
-0.0216598464668612,0.0176584927586721,-1.22659655967659,0.219982547523236,acp5,white_british,0.349440246499994,Unchanged,Unchanged,ACP5
-0.0338936729282346,0.0365106179635219,-0.928323726596414,0.353246084563318,acp6,white_british,0.493599829719326,Unchanged,Unchanged,ACP6
0.111890861005581,0.0236798568747019,4.72514937896936,2.30862649712008e-06,acta2,white_british,2.15128698425903e-05,Upregulated,Upregulated,ACTA2
-0.00283960551447318,0.0175731944132737,-0.161587327135487,0.871631796301617,actn4,white_british,0.915432389080593,Unchanged,Unchanged,ACTN4
0.100850910738507,0.0141654319321888,7.11950833700586,1.10431730705188e-12,acvrl1,white_british,5.21166522650613e-11,Upregulated,Upregulated,ACVRL1
0.119411243679717,0.0352813437743428,3.38454352655793,0.000713755195892418,acy1,white_british,0.00306898767423736,Upregulated,Unchanged,ACY1
0.0621463740382679,0.0191470102165089,3.245748204839,0.00117252222855433,ada,white_british,0.00464878054302164,Upregulated,Unchanged,ADA
0.155538694196053,0.0231111446979003,6.73002987213281,1.72276814574938e-11,ada2,white_british,6.14734096885693e-10,Upregulated,Upregulated,ADA2
0.0215636520068052,0.0166665812497658,1.29382575128347,0.195734383878127,adam15,white_british,0.321030721540022,Unchanged,Unchanged,ADAM15
-0.0119140088956438,0.0194114367650328,-0.61376234226543,0.539376436702449,adam22,white_british,0.662691168246887,Unchanged,Unchanged,ADAM22
-0.00152118742820657,0.0189308265422604,-0.0803550455026746,0.93595533815919,adam23,white_british,0.958895419976817,Unchanged,Unchanged,ADAM23
0.0427263675083043,0.0155754057799789,2.7431945024011,0.00608756328766199,adam8,white_british,0.0188289748199778,Upregulated,Unchanged,ADAM8
0.00204464552350259,0.012516418415624,0.163357076729737,0.87023823628279,adamts13,white_british,0.914625387702386,Unchanged,Unchanged,ADAMTS13
0.162067750809504,0.0259562566018756,6.24387997450268,4.3180591178465e-10,adamts15,white_british,1.0528867482349e-08,Upregulated,Upregulated,ADAMTS15
0.0180274353584999,0.0174357234532483,1.03393675673041,0.301173066737739,adamts16,white_british,0.440358130120467,Unchanged,Unchanged,ADAMTS16
-0.0973806822842787,0.0246274469815448,-3.95415255008988,7.6958230116405e-05,adamts8,white_british,0.00044856530143546,Downregulated,Unchanged,ADAMTS8
0.00283602327488485,0.019508381118529,0.145374608874706,0.884415976510057,adcyap1r1,white_british,0.924725115624494,Unchanged,Unchanged,ADCYAP1R1
0.00161390200633821,0.018300344455463,0.0881897064979246,0.929726411591496,adgrb3,white_british,0.957206009963658,Unchanged,Unchanged,ADGRB3
0.0240835925294512,0.015434634838261,1.56036037015597,0.118683816851139,adgre2,white_british,0.218881924419103,Unchanged,Unchanged,ADGRE2
0.0479723679324034,0.0164471260637021,2.91676294974573,0.0035390927154593,adgre5,white_british,0.0118754418410939,Upregulated,Unchanged,ADGRE5
0.407380311194671,0.0388458397260539,10.4871027133812,1.08227435804691e-25,adgrg1,white_british,5.27789128607543e-23,Upregulated,Upregulated,ADGRG1
-0.0586764044114412,0.0150205709217984,-3.90640307328716,9.38574240269731e-05,adgrg2,white_british,0.000540603981698668,Downregulated,Unchanged,ADGRG2
0.114156578253579,0.0481844068828338,2.36916018352503,0.017834070674582,adh4,white_british,0.0465084588180276,Upregulated,Unchanged,ADH4
0.12988983378907,0.0160776458140577,8.07890877130153,6.74285846865816e-16,adm,white_british,6.57653462643126e-14,Upregulated,Upregulated,ADM
-0.107775838848692,0.0369120031413552,-2.91980466180505,0.00350478278810126,afp,white_british,0.0118145097211801,Downregulated,Unchanged,AFP
-0.013173511642304,0.0223007246238796,-0.590721237291,0.554711070948678,ager,white_british,0.674845488212225,Unchanged,Unchanged,AGER
0.154749418960101,0.0546030235438452,2.83408150165603,0.00459850059231078,agr2,white_british,0.0147859480583531,Upregulated,Unchanged,AGR2
0.0840943302952472,0.0325766394395723,2.58143048951495,0.00984335212070481,agr3,white_british,0.0281816519620179,Upregulated,Unchanged,AGR3
0.103780160801295,0.0189765818109684,5.46885428762049,4.5605845386631e-08,agrn,white_british,6.73953048491325e-07,Upregulated,Upregulated,AGRN
0.0432744798711751,0.0284592612505549,1.5205763596668,0.128375196839289,agrp,white_british,0.231581890229198,Unchanged,Unchanged,AGRP
0.137571779937851,0.0419683947261437,3.2779852752422,0.00104653489767318,agxt,white_british,0.00422950429639741,Upregulated,Unchanged,AGXT
0.107052115959296,0.0372043754266883,2.87740661498923,0.00401202764241686,ahcy,white_british,0.0131310882345769,Upregulated,Unchanged,AHCY
