beta.x,se.x,tval.x,pval.x,outcome,population,fdr.x,Effect_lib.x,Effect,Outcome.x
-0.0643707635032506,0.0124409744808747,-5.1740933640051,2.29884846232293e-07,acan,all,1.02537051840806e-06,Downregulated,Downregulated,ACAN
0.062586340162201,0.0125100164172712,5.00289832360212,5.66588160904784e-07,adam8,all,2.42373824387047e-06,Upregulated,Upregulated,ADAM8
-0.104823059412076,0.0196131718787462,-5.34452357120612,9.1038312196175e-08,adamts8,all,4.38121877444092e-07,Downregulated,Downregulated,ADAMTS8
0.0585283757909043,0.0131275140690075,4.45845081431548,8.27268855670393e-06,adgre5,all,3.00321175147837e-05,Upregulated,Upregulated,ADGRE5
-0.0917891546867109,0.0120135736752416,-7.64045380400638,2.20187005912628e-14,adgrg2,all,2.28463538758989e-13,Downregulated,Downregulated,ADGRG2
-0.0881297356101228,0.0211223005456508,-4.17235496766327,3.01980746264735e-05,amy2a,all,0.000101562719950645,Downregulated,Downregulated,AMY2A
-0.0927061756851364,0.0215733084426219,-4.29726279266369,1.7325994557364e-05,amy2b,all,5.99241844856348e-05,Downregulated,Downregulated,AMY2B
0.0694890918260825,0.0146780208890199,4.73422761498214,2.20475909865066e-06,ang,all,8.7177366522322e-06,Upregulated,Upregulated,ANG
0.0931138022103964,0.0179282635912402,5.19368770637062,2.06950274440651e-07,angptl2,all,9.37363007760596e-07,Upregulated,Upregulated,ANGPTL2
0.152468281202946,0.0353324181708136,4.31525180263184,1.59724881214206e-05,anxa10,all,5.55053447069794e-05,Upregulated,Upregulated,ANXA10
0.0675627591830982,0.0129759760676569,5.20675738232138,1.92902386415058e-07,aoc3,all,8.81925597891343e-07,Upregulated,Upregulated,AOC3
0.0915137627915945,0.0202205704017327,4.52577553320418,6.03093957363756e-06,apbb1ip,all,2.25083280516116e-05,Upregulated,Upregulated,APBB1IP
-0.122213771974215,0.02265484133815,-5.39459845028404,6.89788380730991e-08,aplp1,all,3.3638680033648e-07,Downregulated,Downregulated,APLP1
0.0838360840860775,0.0118721636701045,7.06156741228112,1.66702725167239e-12,b4galt1,all,1.40164417769926e-11,Upregulated,Upregulated,B4GALT1
0.0666983256964082,0.01585463613608,4.20686574727656,2.59382391968929e-05,bag6,all,8.77892205112209e-05,Upregulated,Upregulated,BAG6
0.0620401569767258,0.0137439503968299,4.51399744508942,6.3755893439665e-06,blmh,all,2.34949300005617e-05,Upregulated,Upregulated,BLMH
0.0566551405524283,0.0088424415337821,6.40718294104409,1.49496407724181e-10,bsg,all,1.00327176376366e-09,Upregulated,Upregulated,BSG
0.0612762471494963,0.0113089359418176,5.41839192164066,6.0405213371307e-08,btn2a1,all,2.96553111282625e-07,Upregulated,Upregulated,BTN2A1
0.0606302046264673,0.013991157169309,4.33346605236239,1.47058787741737e-05,ca12,all,5.13861234463811e-05,Upregulated,Upregulated,CA12
0.198844742760749,0.0403337260758065,4.92998693914427,8.24949806795834e-07,ca5a,all,3.45817068006391e-06,Upregulated,Upregulated,CA5A
0.16598971447648,0.0272622512829557,6.08862829242047,1.14692099304354e-09,calca,all,6.84875678703143e-09,Upregulated,Upregulated,CALCA
0.0395287679535746,0.00882994766473376,4.47667069550706,7.59788958874598e-06,cant1,all,2.78589284920686e-05,Upregulated,Upregulated,CANT1
0.13619677860274,0.0257648889220832,5.28613878424311,1.25436429721689e-07,capg,all,5.99717309421016e-07,Upregulated,Upregulated,CAPG
0.121890049464755,0.0189865075047276,6.41982467994202,1.37599742251941e-10,ccl15,all,9.36318246114371e-10,Upregulated,Upregulated,CCL15
0.12149936565235,0.023227933532511,5.23074364244643,1.69479898325662e-07,ccl16,all,7.89646787421795e-07,Upregulated,Upregulated,CCL16
0.144004634548192,0.0309890211878483,4.64695653584115,3.37711948891112e-06,ccl18,all,1.30362158635276e-05,Upregulated,Upregulated,CCL18
0.0915201986867589,0.0202779208936415,4.51329301296646,6.39682260416875e-06,cd160,all,2.35139484168314e-05,Upregulated,Upregulated,CD160
0.0849984633164439,0.019087599200077,4.45307251192183,8.48270789630765e-06,cd163,all,3.07183209215299e-05,Upregulated,Upregulated,CD163
-0.0543452943848238,0.0104831490938135,-5.18406195490391,2.17920064039188e-07,cd1c,all,9.80975549813329e-07,Downregulated,Downregulated,CD1C
0.0722337396698694,0.0154010245622747,4.69019053750541,2.73650016498113e-06,cd276,all,1.0647605695126e-05,Upregulated,Upregulated,CD276
0.106985607718899,0.01522498999748,7.02697392488319,2.13649350703284e-12,cd300c,all,1.75600561842081e-11,Upregulated,Upregulated,CD300C
0.140549901805551,0.0270563593735366,5.19470856611332,2.05812738384294e-07,cd300lf,all,9.35105702659075e-07,Upregulated,Upregulated,CD300LF
-0.0681204836555977,0.010401621692032,-6.54902530321595,5.84537630568989e-11,cd34,all,4.1513522015652e-10,Downregulated,Downregulated,CD34
0.093331143108252,0.0137062418660751,6.80938976710017,9.90898358851364e-12,cd38,all,7.51131761139661e-11,Upregulated,Upregulated,CD38
0.0648850393773266,0.0122878607320176,5.28041786869055,1.29414064292851e-07,cd46,all,6.16719140262023e-07,Upregulated,Upregulated,CD46
0.0830882672721524,0.00996971833623972,8.33406365856177,8.00876245955392e-17,cd59,all,1.11588756936451e-15,Upregulated,Upregulated,CD59
0.0888306126510995,0.0151394776662446,5.86748199702813,4.45164426629081e-09,cd83,all,2.50490598522441e-08,Upregulated,Upregulated,CD83
0.066171710687582,0.0133537531345103,4.95528934982131,7.24602002289845e-07,cd93,all,3.05502227478399e-06,Upregulated,Upregulated,CD93
